0_Index,1_Name,2_Tax,3_mean_genus_perc,4_perc_samples,Family
70,Halomonas,genus,0.2311681702229715,100,Halomonadaceae
71,Hydrogenophaga,genus,0.22514382503440852,96.66666666666667,Comamonadaceae
72,Ignavibacterium,genus,0.292367361407252,100,Ignavibacteriaceae
74,Subgroup_17,genus,0.28707267968129274,100,Subgroup_17
75,Phaeodactylibacter,genus,0.2927927348067357,100,Saprospiraceae
76,A4b,genus,0.18894510468432943,93.33333333333333,A4b
77,Rhodoferax,genus,0.24213008986546397,90,Comamonadaceae
78,mle1-27,genus,0.16540720462204936,100,mle1-27
79,Lentimicrobiaceae,genus,0.2017365201470377,100,Lentimicrobiaceae
80,Candidatus_Omnitrophus,genus,0.1430188609303455,100,Omnitrophaceae
81,KD3-93,genus,0.1639700784817003,90,KD3-93
82,Vicinamibacteraceae,genus,0.1272711424021959,100,Vicinamibacteraceae
83,SWB02,genus,0.19145911969636556,100,Hyphomonadaceae
84,11-24,genus,0.13167835418272825,100,11-24
85,BD1-7_clade,genus,0.1339530319895272,100,Spongiibacteraceae
87,JGI_0001001-H03,genus,0.1271371769270014,96.66666666666667,Blastocatellaceae
88,Crocinitomix,genus,0.13049300499360234,96.66666666666667,Crocinitomicaceae
90,CL500-3,genus,0.10659183106034908,96.66666666666667,Phycisphaeraceae
92,Fimbriimonadaceae,genus,0.12343812910325445,100,Fimbriimonadaceae
94,Paludibaculum,genus,0.12448473425589598,100,Acidobacteriae
96,Lautropia,genus,0.12960724482971991,100,Burkholderiaceae
97,P3OB-42,genus,0.10318720276252928,100,Myxococcaceae
98,oc32,genus,0.14073120333418118,100,Nitrosomonadaceae
4,Saprospiraceae,family,6.560918405104542,100,Saprospiraceae
10,Comamonadaceae,family,3.578515900938381,100,Comamonadaceae
11,Anaerolineaceae,family,2.293002607862846,100,Anaerolineaceae
14,Rhodocyclaceae,family,2.4655377966239858,100,Rhodocyclaceae
16,Rhodobacteraceae,family,0.7398460070630504,100,Rhodobacteraceae
18,Hydrogenophilaceae,family,0.9532911878095774,100,Hydrogenophilaceae
24,Family of Micavibrionales,family,0.5568018405497843,100,Family of Micavibrionales
28,Family of Chitinophagales,family,1.2108158876260833,100,Family of Chitinophagales
41,Chitinophagaceae,family,0.8185165190426953,100,Chitinophagaceae
45,Sphingomonadaceae,family,0.47176611566382876,100,Sphingomonadaceae
46,Family of Bacteroidia,family,0.6041374458060632,100,Family of Bacteroidia
63,Rhodanobacteraceae,family,0.45349513860865154,100,Rhodanobacteraceae
68,Family of Vicinamibacterales,family,0.2455671285432484,100,Family of Vicinamibacterales
73,Pedosphaeraceae,family,0.19294121228780167,96.66666666666667,Pedosphaeraceae
86,Prolixibacteraceae,family,0.15594383915160134,100,Prolixibacteraceae
89,Sandaracinaceae,family,0.14322514401657668,100,Sandaracinaceae
91,Caldilineaceae,family,0.12867375162315597,93.33333333333333,Caldilineaceae
93,Family of Alphaproteobacteria,family,0.11105123796802219,90,Family of Alphaproteobacteria
95,Microscillaceae,family,0.11886855209356831,100,Microscillaceae
